rank,en,zh
1,the,"[ði:, ði; ðә, ð]
art.
那"
2,be,"[bi:; bi]
prep.
是, 在, 存在
[域] Belgium , 比利时
abbr.
[军] Base Ejection, 弹底喷射"
3,and,"[ænd; әnd, nd]
[连接并列的名词、代词或数词]同, 和, 与, 如： Father and I went to Xinhua bookstore yesterday. 父亲和我昨天到新华书店去过。"
4,of,"[ɔv, әv, v, f]
prep.
...的, 由...制成的, 离, 关于, 对于"
5,a,"[ei]
art.
一
n.
字母A"
6,in,"[in]
prep.
在...之内(上), 在...期间, 从事于, 符合, 穿着
adv.
进入, 朝里, 在家, 已到达(来临)
adj.
在里面的, 执政的
n.
执政者, 入口
[域] India , 印度"
7,to,"[tu:; tә, tu]
prep.
向, 往, 给...,于...,直到...为止, 在...之前, 比, 对, [表示程度、范围] 到, 达
[域] Tonga , 汤加"
8,have,"[hæv]
vt.
有, 持有, 拿, 从事(某事)
aux.
已经"
9,to,"[tu:; tә, tu]
prep.
向, 往, 给...,于...,直到...为止, 在...之前, 比, 对, [表示程度、范围] 到, 达
[域] Tonga , 汤加"
10,it,"[it]
pron.
它
[域] Italy , 意大利"
11,I,"[ai]
pron.
我
n.
字母I, [化]碘元素, 罗马数字1"
12,that,"[ðæt]
adj.
那, 那个
pron.
那, 那个
conj.
引导从句"
13,for,"[fɔ:; fә]
prep.
(表示目的)为了, 因为, 至于, 对于, 适合于
conj.
因为"
14,you,"[ju:, ju]
pron.
你, 你们"
15,he,"[hi:; i:, hi, i]
pron.
他
n.
男, 雄
abbr.
[军] High Explosive, 高爆炸药"
16,with,"[wið]
prep.
有, 以, 用, 同...,由于, 和...一致, 赞成, 关于, 就"
17,on,"[ɔn]
prep.
在...之上, 依附于, 临近, 靠近, 向, 在...时候, 关于, 涉及
adv.
在上, 向前, 行动中, 作用中"
18,do,"[dәu]
v.
做, 实行, 尽力, 给予, 可用, 制作, 算出, 解答
[域] Dominican Republic , 多米尼加共和国"
19,say,"[sei]
v.
说, 讲, 背诵, 念, 表示, 比方说, 假定
n.
话语, 想说的意见, 发言权"
20,this,"[ðis]
adj.
这, 这个, 今, 本
pron.
这, 这个"
21,they,"[ðei; ðe]
pron.
他们, 它们"
22,at,"[æt, әt]
prep.
在, 于, 向, 对准, 在...方面
[域] Austria , 奥地利"
23,but,"[bәt, bʌt]
prep.
除...以外
conj.
而是, 但是
adv.
几乎, 仅仅"
24,we,"[wi:; wi]
pron.
我们"
25,his,"[hiz;iz]
pron.
他的"
26,from,"[frɔm, frәm, frm]
prep.
从, 今后, 来自, 由于"
27,that,"[ðæt]
adj.
那, 那个
pron.
那, 那个
conj.
引导从句"
28,not,"[nɔt]
adv.
不"
29,n''t,
30,by,"[bai]
prep.
在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用
adv.
通过, 经过, 附近
[域] Belarus, 白俄罗斯"
31,she,"[ʃi:, ʃi]
pron.
[主格]她"
32,or,"[ɔ:,ә]
conj.
或, 或者, 还是
abbr.
[军] Operational Requirement, 作战需求
abbr.
[军] Operations Research, 运筹学研究"
33,as,"[æs]
adv.
同样地, 被看作, 象
prep.
当做
conj.
与...一样, 当...之时, 象, 因为
[域] American Samoa, 东萨摩亚
abbr.
[军] Air to Surface, 空对地"
34,what,"[(h)wɔt]
pron.
什么
int.
怎么, 多么
adj.
什么
adv.
到什么程度, 在哪一方面
n.
本质, 实质, 要素"
35,go,"[gәu]
vi.
离去, 走, 进行, 变成, 趋于, 达到, 求助于, 诉诸
vt.
以...打赌, 忍受, 出产
n.
去, 进行"
36,their,"[ðєә, ðәr]
pron.
他们的, 她们的, 它们的"
37,can,"[kæn, kәn]
vt.
装进罐中, 把食品装罐
n.
罐头, 铁罐
conj.
能, 可以"
38,who,"[hu:]
pron.
谁, 那...的(人)"
39,get,"[get]
vt.
获得, 变成, 收获, 使得, 挣得, 受到(惩罚,打击等), 染上, 抓住
vi.
到达, 成为, 变得
n.
生殖, 幼兽"
40,if,"[if]
conj.
(表条件)如果, (表假设)要是, 是否, 即使
n.
条件, 设想"
41,would,"[wud, wәd, әd, d]
v.
aux.will的过去式, 将, 愿意"
42,her,"[hә:; ә:ˏhә, ә]
pron.
她的, 她"
43,all,"[ɔ:l]
adj.
全部的, 所有的, 整个的
adv.
完全, 更加, 越发
pron.
全部"
44,my,"[mai; mi]
pron.
我的
int.
<口>嗳呀!啊呀!
[域] Malaysia , 马来西亚"
45,make,"[meik]
vt.
制造, 安排, 使成为, 认为, 产生, 获得, 进行, 构成
vi.
开始, 前进, 增大, 被制造, 被处理
n.
制造, 构造, 性情"
46,about,"['әbaut]
adv.
附近, 大约, 转向, 左右, 周围
prep.
在附近, 关于, 在...周围, 忙于"
47,know,"[nәu]
v.
知道, 了解, 认识, 熟悉, 认出, 分辨, 确信"
48,will,"[wil, wәl, әl, l]
n.
意志, 决心, 意向, 遗嘱
v.
aux.将, 愿意, 必须"
49,as,"[æs]
adv.
同样地, 被看作, 象
prep.
当做
conj.
与...一样, 当...之时, 象, 因为
[域] American Samoa, 东萨摩亚
abbr.
[军] Air to Surface, 空对地"
50,up,"[ʌp]
adv.
向上, 到(较高的地方,北方), 起来, 起床
prep.
向上, 在上, 沿
adj.
向上的, 上行的"
51,one,"[wʌn]
pron.
一个人, 任何人, 一方
num.
一, 一个
adj.
一方的, 某一, 同样的"
52,time,"[taim]
n.
时间, 时侯, 时机, 节拍, 期限, 次数, 时期, 比赛限时
vt.
安排...的时间, 记录...的时间, 计时, 定时
vi.
打拍子, (...)合拍
adj.
时间的, 记时的, 定时的, 定期的, 分期的
n.
DOS命令：显示并允许改变系统时间"
53,there,"[ðєә, ðә]
adv.
在那里"
54,year,"[jә:, jiә]
n.
年, 年龄, 年岁"
55,so,"[sәu; sә]
conj.
因而, 所以, 那么, 这样看来
adv.
[表示程度] 如此, 那么, 非常, 很, [表示方式] 这样, 那样, 如此, 因此
[域] Somalia , 索马里"
56,think,"[θiŋk]
v.
想, 思索, 认为
vt.
认为, 以为, 预料"
57,when,"[(h)wen]
conj.
就在那个时候, 在...的时候
adv.
什么时候, ...的时候
pron.
什么时侯, 那时"
58,which,"[(h)witʃ]
pron.
哪个, 哪几个, ...的, ...那个
adj.
哪个"
59,them,"[θem]
pron.
[they 的宾格] 他们, 她们, 它们"
60,some,"[sʌm, sәm, sm]
adj.
一些, 少许, 若干, 有些, 大约, 相当的
pron.
一些, 若干, 有些, 某些"
61,me,"[mi:ˏmi]
pron.
我"
62,people,"['pi:pl]
n.
人, 人们, 民族, 人类, 公民
vt.
使住（满）人"
63,take,"[teik]
v.
拿, 拿走, 取, 抓, 占领, 获得, 接受, 感受
n.
捕获量"
64,out,"[aut]
adj.
外面的, 下台的, 出局的
adv.
在外, 出声地, 显露出来地, 明显地, 从头至尾地
n.
外面, 外出, 外观
vt.
赶出, 击倒, 使退场
vi.
外出, 暴露
prep.
通过"
65,into,"['intu, 'intә]
prep.
到...里, 进入到...之内, 成为...状况, 深入...之中"
66,just,"[dʒʌst]
adj.
正义的, 公正的, 正确的, 应得的, 有充分根据的
adv.
正好, 仅仅, 刚才, 只是, 不过"
67,see,"[si:]
v.
看, 看见, 了解, 领会, 注意, 留心, 经历, 阅历"
68,him,"[him, im, әm]
pron.
他"
69,your,"[jɔ:, juә]
pron.
你的, 你们的"
70,come,"[kʌm]
vi.
来, 来临, 到达, 出现, 来(自), 出生(于), 开始
int.
嗨!
vbl.
来, 到达, 合计为"
71,could,"[kud]
vbl.
can 的过去式"
72,now,"[nau]
adv.
现在, 目前, 此刻, 立刻, 马上
n.
现在, 如今
conj.
既然"
73,than,"[ðæn; ðәn, ðn]
conj.
比
prep.
与...相比较"
74,like,"[laik]
n.
爱好, 同样的人(或物)
adj.
相似的, 同样的
vt.
喜欢, 希望, 愿意
vi.
喜欢, 希望
prep.
象, 如同
adv.
可能"
75,other,"['ʌðә]
adj.
其他的, 另外的, 从前的
pron.
其他的, 他人, 另外一个
adv.
另外地, 不同地"
76,how,"[hau]
adv.
（指范围, 程度, 数量, 价值）多少, 多么
n.
方式（或方法）"
77,then,"[ðen]
adv.
当时, 在那时, 那么, 因而, 然后, 于是"
78,its,"[its]
pron.
它的"
79,our,"['auә]
pron.
我们的"
80,two,"[tu:]
num.
二, 两个"
81,more,"[mɔ:(r)]
adj.
更多的
n.
更多
adv.
更, 更多, 更加, 超过, 多, 大大高于
num.
更多"
82,these,"[ði:z]
adj.
pron.这些"
83,want,"[wɔnt]
vt.
想要, 希望, 需要, 短缺, 缺少
n.
需要, 短缺"
84,way,"[wei]
n.
路, 路线, 路途, 习惯, 行业, 规模, 道路, 情形
adj.
中途, 途中的
adv.
远远地, 大大地, 非常"
85,look,"[luk]
n.
看, 注视, 脸色, 面容, 外表
vi.
看, 注意, 朝着, 好象, 显得
vt.
打量, 注视, 用眼神(或脸色)表示, 期待"
86,first,"[fә:st]
adv.
首先, 最初, 第一(列举条目等用), 优先
adj.
第一的
num.
第一(个)
n.
开始, 第一, (比赛)冠军"
87,also,"['ɔ:lsәu]
adv.
也, 同样"
88,new,"[nju:]
adj.
新的, 初见的, 更新的
adv.
新近"
89,because,"[bi'kɔz, bә'kɔz, bi'kәz]
conj.
adv.因为"
90,day,"[dei]
n.
天, 白天, 日子, 白昼, 黎明, 工作日, 节日, 重要日子"
91,more,"[mɔ:(r)]
adj.
更多的
n.
更多
adv.
更, 更多, 更加, 超过, 多, 大大高于
num.
更多"
92,use,"[ju:s]
vt.
使用, 利用, 耗费
n.
使用, 利用, 用途, 效用, 使用价值"
93,no,"[nәu]
n.
否定, 投反对票者
adj.
没有, 不许, 反对
adv.
不, 并不, 毫不
[域] Norway , 挪威"
94,man,"[mæn]
n.
男人, 人类, 人, 丈夫, 雇工
vt.
为...配备人手, 操纵, 在...就位, 使振奋"
95,find,"[faind]
vt.
找到, 发现, 感到, 查明, 得到, 认为, 见到...的存在
vi.
裁决
n.
发现
[计] 在文件中查找指定的字符串"
96,here,"[hiә]
adv.
在这里, 此时, 这时, [宗]在尘世间
n.
这里"
97,thing,"[θiŋ]
n.
东西, 物, 所有物, 用品, 事, 事情, 事件,事态"
98,give,"[giv]
n.
弹性, 可弯性
vt.
给, 授予, 供给, 献出, 让步, 引起, 发表, 捐助
vi.
捐赠, 让步"
99,many,"['meni]
n.
多数, 群众
adj.
许多的
pron.
许多人, 许多"
100,well,"[wel]
adj.
健康的, 良好的, 适当的
adv.
好, 满意地, 充分地, 彻底地, 有理地, 适当地, 夸奖地
n.
井
vi.
涌出"
101,only,"['әunli]
adj.
唯一的, 单独的, 最好的, 最合适的
adv.
仅仅, 只不过
conj.
但是, 可是"
102,those,"[ðәuz]
adj.
pron.那些"
103,tell,"[tel]
vt.
告诉, 说, 吩咐, 断定, 知道
vi.
讲述, 泄密, 告发, 表明, 作证
n.
<方>讲的事, 传闻"
104,one,"[wʌn]
pron.
一个人, 任何人, 一方
num.
一, 一个
adj.
一方的, 某一, 同样的"
105,very,"['veri]
adv.
很, 甚, 及其, 非常, 完全
adj.
真正的, 真实的, 恰好的, 绝对的, 十足的, 特别的"
106,her,"[hә:; ә:ˏhә, ә]
pron.
她的, 她"
107,even,"['i:vәn]
adj.
平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的
adv.
[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当
vt.
使平坦, 使相等
vi.
变平, 相等
n.
偶数, 偶校验"
108,back,"[bæk]
adj.
后面的, 在后面, 早过去的, 前(欠)的钱
adv.
向后地
n.
背部, 后面
v.
后退, 支持"
109,any,"['eni]
adj.
任何的, 任何一种, 所有的
pron.
无论那一个, 任何"
110,good,"[gud]
n.
好, 好事, 慷慨的行为, 好处, 利益
adj.
优良的, 上等的, 虔诚的, 愉快的, 慈善的, 好心的, 有益的"
111,woman,"['wumәn]
n.
女人, 妇女, 女仆
adj.
女人的, 女性的, 妇女的
vt.
为...配备妇女, 使成女人腔"
112,through,"[θru:]
prep.
穿过, 通过, 从开始到结束, 经由, 以
adv.
从头到尾, 自始至终, 直达地, 彻底, 完全
adj.
直达的, 直通的"
113,us,"[ʌs; әs]
pron.
<用作宾语>我们
[域] United States , 美国"
114,life,"[laif]
n.
生命, 生活, 一生, 寿命, 生命力, 传记"
115,child,"[tʃaild]
n.
孩子, 儿女, 子孙, (头脑、空想等的)产物, 弟子, 追随者"
