name,heat,carbohydrate,fat,protein
火腿菜花,56,6.50,2.29,3.62
肉末木耳,116,10.05,7.26,3.49
清炒油麦菜,44,1.90,3.42,1.42
豉汁蒸鲫鱼,157,6.94,8.11,14.65
红烧茄子饭,177,13.93,11.06,5.69
四喜丸子(不含猪肥膘),135,3.60,7.2,14.36
海带瘦肉汤,16,1.27,0.47,1.88
板栗烧鸡(清淡),108,12.97,4.02,7.78
蒜烧鲶鱼,154,3.54,9.1,14.55
牛肉锅贴,185,19.11,7.15,11.60
麻辣鸡肉,182,6.45,12.14,13.15
挂霜花生仁,503,47.28,29.15,16.41
鱼香腰花,88,5.89,3.54,7.80
脆皮鱼,171,8.91,11.78,7.65
醋泡黄豆,390,18.70,16.0,35.00
凉拌佛手瓜,35,8.15,0.11,1.47
麻辣小面,132,13.76,7.15,2.72
烧素肉圆,159,7.12,12.33,5.68
酱烧鸭块,224,7.82,17.07,11.06
辣味醋熘土豆丝,113,16.24,4.75,2.01
家常蒸大黄鱼,90,2.42,1.7,12.30
油焖鲜蚕豆,171,17.67,8.83,7.86
豆角焖面,115,15.40,4.45,3.52
什锦素烩,102,7.75,7.2,2.74
洋葱椰菜红萝卜土豆汤,38,4.94,1.52,0.99
清炒丝瓜,47,4.00,3.26,1.26
尖椒烩猪耳,194,3.17,14.04,15.79
葱油海带,67,4.25,5.39,1.15
火腿冬瓜,54,3.97,3.4,2.41
双心芦笋玉竹荪,129,12.94,1.27,7.43
酱汁瓦块鱼,224,2.26,18.03,13.39
炒茄子,87,8.08,5.32,2.70
藕夹山楂糕,112,27.22,0.23,1.30
洋葱炒蛋,117,5.67,7.52,6.91
冬瓜排骨汤,51,1.29,3.9,2.97
糖醋鱼,113,3.01,5.52,12.55
麻婆豆腐,126,5.37,8.9,6.35
黄瓜炒蛋,52,2.82,3.17,3.03
琉璃肉,445,24.38,35.57,7.61
家常烤羊腿,104,1.68,4.05,14.65
素炒茄子,64,7.07,3.85,1.49
豇豆烧肉,392,3.06,39.58,6.59
椒油菜心,70,5.66,4.36,2.93
爆汆鱼块,99,1.29,5.57,11.20
干煸芸豆,74,7.32,3.46,4.30
南瓜豉汁蒸排骨,74,5.20,4.41,4.16
西红柿疙瘩汤,88,15.05,1.34,3.76
锅塌鸡片,137,6.12,6.74,12.98
老黄瓜排骨汤,51,0.43,4.1,3.05
土豆芸豆炖肉,58,5.51,2.95,1.98
白菜豆腐煲,56,2.23,4.38,1.66
金沙基围虾,157,6.54,7.64,16.02
杏鲍菇肉片,98,7.49,5.09,6.48
蒜苗炒肉,116,4.55,6.35,10.73
蜜汁牛肉,127,7.96,4.81,12.14
香菇土豆炖肉,336,5.65,32.24,6.44
土豆炖排骨,157,6.78,11.27,7.71
白菜汤,14,1.13,0.74,0.85
炒豇豆,41,3.70,1.19,2.79
生菜扒口条,198,2.14,15.92,11.62
黑椒鸡脆骨,64,3.45,0.48,11.86
粉蒸排骨,298,13.48,21.23,13.44
豆芽排骨汤,67,1.08,5.13,4.35
桂花芋头汤,45,9.74,0.23,0.61
腊肉猪肠,229,1.21,22.11,6.31
麻辣鸡块,175,2.22,10.58,17.97
腊味南瓜蒸,88,4.95,6.91,2.22
粳米煨黄鳝,233,23.79,8.8,14.29
牛奶玉米糕,195,30.55,4.56,9.34
肉末酱茄子,217,5.34,19.59,5.87
牛肉焖黄豆,234,13.39,12.53,21.42
香拌卷心菜,55,5.98,3.26,1.49
什锦蛋卷,219,3.74,17.63,11.32
什锦蔬菜汤,40,3.68,2.37,0.71
洋葱烩土豆,80,11.83,2.69,1.63
豆豉蒸鱼,136,3.68,6.64,15.99
虾仁黄瓜,95,4.26,5.07,7.66
萝卜丝包,133,23.15,2.88,4.23
金陵丸子,263,2.67,21.27,15.48
腊肉蒿子杆,123,7.72,10.34,3.39
香煎银鳕鱼,179,4.32,10.84,16.13
清炒西葫芦,42,4.18,2.54,0.84
羊肉胡辣汤,124,19.59,2.59,5.91
番茄鸡蛋饼,90,3.67,6.09,5.51
盐水虾,92,3.46,0.79,17.87
红烧罗非鱼,99,4.79,4.06,11.49
红烧东坡肉,385,1.68,39.16,6.33
卤虎皮鸡蛋,151,4.23,10.08,10.85
油炸豆腐皮,307,18.20,15.57,25.58
番茄炒蛋,74,3.57,4.77,4.76
卤五香豆腐干丝,190,10.55,9.54,14.95
溜肝尖,141,6.14,6.88,13.36
莲藕黄豆排骨汤,92,2.77,5.8,6.61
红油菜花,41,4.24,1.6,2.33
拔丝地瓜,237,32.86,11.89,0.81
猪肉炖茄子,106,3.74,9.47,2.05
三丁茭白,85,5.81,4.99,5.62
蚝油牛里脊肉,166,6.99,8.13,16.27
鸡块汉堡,256,31.54,10.38,7.71
海米菜花,62,3.99,1.92,8.06
咸菜肉丝毛豆,138,5.17,6.98,14.22
绿豆南瓜盅,157,28.90,0.38,8.13
三丝蛋卷,159,4.82,12.91,6.75
黄豆香卤海带,267,31.02,12.77,16.78
盐水鸡,160,1.97,8.69,18.13
辣椒炒猪血,65,1.83,3.23,7.60
香辣凉粉,147,10.10,11.76,0.84
炝炒白菜,51,3.65,3.34,1.16
牛肚炖萝卜,79,2.64,3.98,9.01
酱肉西兰花,68,4.10,2.47,8.61
干煸四棱豆,55,1.88,1.9,7.58
油焖竹笋,50,5.40,2.37,2.51
三丝白菜汤,12,0.97,0.46,0.75
炖牛肉胡萝卜,115,6.45,7.14,5.09
凤尾菇扒蛋,100,2.75,7.04,4.18
拔丝豆腐,310,31.73,18.15,5.12
葱油芋艿,88,14.36,2.89,1.81
香肠焖饭,186,19.44,9.05,7.01
锅塌什锦菌,109,4.91,7.58,4.83
双色菜卷,117,19.81,2.7,3.29
红烧冬瓜,35,3.37,2.26,0.57
白菜豆腐炖肉,296,6.73,26.56,8.07
鸡蛋火腿三明治,262,36.37,7.87,14.27
面片汤,125,18.61,3.62,4.59
锅塌鸡蛋豆腐,129,4.02,8.58,9.18
香辣大白菜,90,9.83,4.97,3.14
蘑菇炒莴笋,47,3.39,3.49,1.81
烤牛肉,101,2.29,2.75,16.22
炝芹菜黄豆,69,4.47,2.94,4.68
重庆毛肚火锅,116,5.88,7.33,7.29
虾仁冬瓜丝,45,2.67,1.8,5.21
炝炒芦笋尖,51,2.99,3.26,1.51
番茄南泌,42,3.92,1.95,1.71
豆豉荷香鹅,269,4.12,20.31,16.77
清蒸多宝鱼,93,1.50,2.69,14.74
大蒜鲇鱼,134,7.40,5.89,13.08
拔丝皮蛋,295,31.51,14.82,8.80
百合南瓜盅,91,13.47,3.98,1.54
黄瓜拌干丝,79,5.82,4.4,4.83
青椒土豆丝,75,13.38,1.87,1.96
五香素鸡,176,4.28,10.79,14.44
蒜香排骨,274,4.80,21.81,14.51
牛肉粉丝,193,18.52,10.98,5.75
嫩笋三黄鸡,190,5.93,11.63,14.84
西红柿炒山药,58,9.43,1.79,1.71
醋辣白菜梗,57,3.44,3.88,1.51
香煎老豆腐,120,2.06,9.59,6.91
玻璃皮蛋,196,5.71,13.45,12.94
四川泡菜(红白萝卜),40,8.12,0.32,1.04
豆豉炒茄子,67,8.56,2.05,2.33
紫米馒头,227,48.73,1.19,7.18
红烧猪蹄,242,2.64,16.58,20.33
香煎豆沙南瓜饼,297,38.55,15.46,1.46
土豆炖南瓜,34,5.75,1.06,0.69
烧豇豆,53,3.27,2.84,2.58
辣爆鸡肝,199,6.82,14.89,12.09
青椒肉沫豆腐,137,4.50,10.94,5.66
木耳炒鸡蛋,105,4.55,6.75,7.08
砂锅排骨汤,68,2.98,4.56,3.85
葱油饼,259,42.38,7.71,6.55
卤牛肉,169,6.27,8.94,16.38
蒜薹腊肉,251,9.37,20.75,5.93
酸辣青椒,37,4.98,1.02,1.87
香干炝白菜丝,77,4.33,4.94,3.46
小白菜炖豆腐,69,2.96,4.79,4.41
【咸烧白(扣肉)】,309,4.49,28.81,9.70
鸡丝炒佛手,73,3.27,3.48,6.69
卤汁茄子,33,4.73,1.05,1.25
熏五香豆干,166,16.37,4.66,14.24
西红柿烧豆腐,105,5.09,7.44,4.91
椒油炝芹菜,38,4.50,2.11,1.26
白灼菜心,45,3.88,2.43,2.72
麻酱拌面,210,37.53,4.63,6.10
清炒卷心菜,44,4.99,2.27,1.50
红烧牛肉,162,5.37,8.54,16.86
酸辣冬瓜片,62,2.80,5.13,1.15
冬瓜丸子汤,29,2.47,0.99,2.53
洋葱炒肉片,132,6.73,7.39,10.15
金针菇菠菜,37,4.57,1.32,1.63
油炝土豆丝,99,13.61,4.94,2.06
麻辣血旺,148,4.61,8.73,12.45
蹄膀清汤,73,3.19,4.56,4.95
蒜蓉生菜,49,3.56,3.38,1.54
干煸鸡丝,136,7.15,8.05,12.64
红豆薏米大麦粥,49,10.57,0.27,2.20
鱼片熘豆腐,63,3.16,3.03,6.19
香菇蒸鸡块,186,7.54,10.1,17.68
蒜蓉油麦菜,63,5.23,3.68,2.25
豉汁南瓜蒸排骨,154,4.47,10.66,10.58
南瓜早餐饼,167,30.75,2.5,4.83
干煸茶树菇,310,33.48,15.59,14.34
蒸浸鸡腿,150,1.72,10.68,12.23
素炒菜花,53,5.85,3.17,1.45
青椒炒鸡蛋,96,3.98,6.27,6.42
卤鸭翅膀,147,8.31,5.78,15.46
红烧豆腐,103,6.24,6.93,4.84
番茄土豆炖牛肉,84,7.68,2.95,7.04
鸡蛋肉夹饼,212,13.18,14.55,7.60
黄鱼烩豆腐丁,214,14.06,12.84,10.20
干煸脆肠,188,4.48,16.79,6.22
毛豆烧仔鸡,148,5.49,7.39,16.15
干煸芦笋,93,7.08,5.84,4.80
番茄生菜沙拉,72,3.13,4.96,0.84
辣味卤鸭,234,1.42,18.72,14.81
鲜奶扇贝,45,2.91,1.94,4.15
烧鸡腿,218,0.43,17.82,14.04
土豆炖倭瓜,75,11.44,2.85,1.69
糖醋卷心菜,69,7.07,3.84,1.45
青椒炒肉片,92,6.46,4.73,6.54
水晶南瓜,66,9.21,2.01,3.11
扒盒菜,248,21.35,17.55,2.02
冬瓜海带汤,6,1.04,0.07,0.35
炸馒头干,307,26.69,19.22,7.55
清蒸大龙虾,87,1.86,1.79,15.93
盐煎素肉,135,6.74,10.76,4.00
炒六味豆腐,159,5.53,12.44,6.75
番茄蛋花汤,13,1.06,0.54,0.97
咖喱鸡块土豆,102,5.98,4.78,8.44
辣椒肉末炖粉条,332,39.82,17.28,4.90
紫菜蛋花汤,48,3.74,2.06,4.39
